"2024-02-01","2 Timotheus 2,14-21"
"2024-02-02","2 Timotheus 2,22-26"
"2024-02-03","2 Timotheus 3,1-9"
"2024-02-04","Psalm 128"
"2024-02-05","2 Timotheus 3,10-17"
"2024-02-06","2 Timotheus 4,1-8"
"2024-02-07","2 Timotheus 4,9-22"
"2024-02-08","Titus 1,1-9"
"2024-02-09","Titus 1,10-16"
"2024-02-10","Titus 2,1-10"
"2024-02-11","Psalm 31"
"2024-02-12","Titus 2,11-15"
"2024-02-13","Titus 3,1-7"
"2024-02-14","Titus 3,8-15"
"2024-02-15","Philemon 1-25"
"2024-02-16","Exodus 1,1-22"
"2024-02-17","Exodus 2,1-10"
"2024-02-18","Psalm 91"
"2024-02-19","Exodus 2,11-25"
"2024-02-20","Exodus 3,1-22"
"2024-02-21","Exodus 4,1-17"
"2024-02-22","Exodus 4,18-31"
"2024-02-23","Exodus 5,1-6,1"
"2024-02-24","Exodus 7,1-13"
"2024-02-25","Psalm 123"
"2024-02-26","Exodus 7,14-25"
"2024-02-27","Exodus 11,1-10"
"2024-02-28","Exodus 12,1-20"
"2024-02-29","Exodus 12,21-33.51"
